date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,is_month_end,is_payday_window,is_school_holiday,is_bank_holiday,bank_holiday_name,is_easter_period,is_christmas_period,is_black_friday_period,is_heatwave,weather_condition,temperature_celsius
2023-04-19,2023,Q2,4,April,16,2,Wednesday,False,False,False,True,False,,True,False,False,False,Dry,10.9
2023-04-20,2023,Q2,4,April,16,3,Thursday,False,False,False,True,False,,False,False,False,False,Dry,13.4
2023-04-21,2023,Q2,4,April,16,4,Friday,False,False,False,True,False,,False,False,False,False,Rain,15.9
2023-04-22,2023,Q2,4,April,16,5,Saturday,True,False,False,True,False,,False,False,False,False,Rain,13.2
2023-04-23,2023,Q2,4,April,16,6,Sunday,True,False,False,True,False,,False,False,False,False,Dry,15.8
2023-04-24,2023,Q2,4,April,17,0,Monday,False,False,False,True,False,,False,False,False,False,Cloudy,18.7
2023-04-25,2023,Q2,4,April,17,1,Tuesday,False,False,True,True,False,,False,False,False,False,Heavy Rain,15.1
2023-04-26,2023,Q2,4,April,17,2,Wednesday,False,False,True,True,False,,False,False,False,False,Rain,8.2
2023-04-27,2023,Q2,4,April,17,3,Thursday,False,False,True,True,False,,False,False,False,False,Dry,14.4
2023-04-28,2023,Q2,4,April,17,4,Friday,False,False,True,True,False,,False,False,False,False,Rain,14.0
2023-04-29,2023,Q2,4,April,17,5,Saturday,True,False,True,True,False,,False,False,False,False,Dry,12.4
2023-04-30,2023,Q2,4,April,17,6,Sunday,True,True,True,True,False,,False,False,False,False,Cloudy,15.1
2023-05-01,2023,Q2,5,May,18,0,Monday,False,False,True,False,True,Early May Bank Holiday,False,False,False,False,Rain,12.8
2023-05-02,2023,Q2,5,May,18,1,Tuesday,False,False,True,False,False,,False,False,False,False,Rain,13.5
2023-05-03,2023,Q2,5,May,18,2,Wednesday,False,False,True,False,False,,False,False,False,False,Rain,16.2
2023-05-04,2023,Q2,5,May,18,3,Thursday,False,False,False,False,False,,False,False,False,False,Rain,9.5
2023-05-05,2023,Q2,5,May,18,4,Friday,False,False,False,False,False,,False,False,False,False,Rain,14.5
2023-05-06,2023,Q2,5,May,18,5,Saturday,True,False,False,False,False,,False,False,False,False,Cloudy,10.6
2023-05-07,2023,Q2,5,May,18,6,Sunday,True,False,False,False,False,,False,False,False,False,Dry,19.6
2023-05-08,2023,Q2,5,May,19,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,20.0
2023-05-09,2023,Q2,5,May,19,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,16.1
2023-05-10,2023,Q2,5,May,19,2,Wednesday,False,False,False,False,False,,False,False,False,False,Dry,18.5
2023-05-11,2023,Q2,5,May,19,3,Thursday,False,False,False,False,False,,False,False,False,False,Dry,16.5
2023-05-12,2023,Q2,5,May,19,4,Friday,False,False,False,False,False,,False,False,False,False,Cloudy,16.9
2023-05-13,2023,Q2,5,May,19,5,Saturday,True,False,False,False,False,,False,False,False,False,Cloudy,15.8
2023-05-14,2023,Q2,5,May,19,6,Sunday,True,False,False,False,False,,False,False,False,False,Rain,16.5
2023-05-15,2023,Q2,5,May,20,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,12.7
2023-05-16,2023,Q2,5,May,20,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,10.7
2023-05-17,2023,Q2,5,May,20,2,Wednesday,False,False,False,False,False,,False,False,False,False,Dry,15.1
2023-05-18,2023,Q2,5,May,20,3,Thursday,False,False,False,False,False,,False,False,False,False,Heavy Rain,12.4
2023-05-19,2023,Q2,5,May,20,4,Friday,False,False,False,False,False,,False,False,False,False,Dry,16.4
2023-05-20,2023,Q2,5,May,20,5,Saturday,True,False,False,False,False,,False,False,False,False,Rain,24.4
2023-05-21,2023,Q2,5,May,20,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,18.7
2023-05-22,2023,Q2,5,May,21,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,20.4
2023-05-23,2023,Q2,5,May,21,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,16.2
2023-05-24,2023,Q2,5,May,21,2,Wednesday,False,False,False,False,False,,False,False,False,False,Dry,15.6
2023-05-25,2023,Q2,5,May,21,3,Thursday,False,False,True,False,False,,False,False,False,False,Rain,13.1
2023-05-26,2023,Q2,5,May,21,4,Friday,False,False,True,False,False,,False,False,False,False,Rain,19.4
2023-05-27,2023,Q2,5,May,21,5,Saturday,True,False,True,False,False,,False,False,False,False,Cloudy,11.8
2023-05-28,2023,Q2,5,May,21,6,Sunday,True,False,True,False,False,,False,False,False,False,Cloudy,14.9
2023-05-29,2023,Q2,5,May,22,0,Monday,False,False,True,False,True,Spring Bank Holiday,False,False,False,False,Rain,19.6
2023-05-30,2023,Q2,5,May,22,1,Tuesday,False,False,True,False,False,,False,False,False,False,Cloudy,16.4
2023-05-31,2023,Q2,5,May,22,2,Wednesday,False,True,True,False,False,,False,False,False,False,Cloudy,19.0
2023-06-01,2023,Q2,6,June,22,3,Thursday,False,False,True,False,False,,False,False,False,False,Warm,22.1
2023-06-02,2023,Q2,6,June,22,4,Friday,False,False,True,False,False,,False,False,False,False,Cloudy,20.7
2023-06-03,2023,Q2,6,June,22,5,Saturday,True,False,True,False,False,,False,False,False,False,Cloudy,17.2
2023-06-04,2023,Q2,6,June,22,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,17.1
2023-06-05,2023,Q2,6,June,23,0,Monday,False,False,False,False,False,,False,False,False,False,Cloudy,19.6
2023-06-06,2023,Q2,6,June,23,1,Tuesday,False,False,False,False,False,,False,False,False,False,Cloudy,15.4
2023-06-07,2023,Q2,6,June,23,2,Wednesday,False,False,False,False,False,,False,False,False,False,Dry,14.4
2023-06-08,2023,Q2,6,June,23,3,Thursday,False,False,False,False,False,,False,False,False,False,Cloudy,11.4
2023-06-09,2023,Q2,6,June,23,4,Friday,False,False,False,False,False,,False,False,False,False,Cloudy,15.6
2023-06-10,2023,Q2,6,June,23,5,Saturday,True,False,False,False,False,,False,False,False,False,Cloudy,17.6
2023-06-11,2023,Q2,6,June,23,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,20.1
2023-06-12,2023,Q2,6,June,24,0,Monday,False,False,False,False,False,,False,False,False,False,Cloudy,19.8
2023-06-13,2023,Q2,6,June,24,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,23.6
2023-06-14,2023,Q2,6,June,24,2,Wednesday,False,False,False,False,False,,False,False,False,True,Heatwave,25.7
2023-06-15,2023,Q2,6,June,24,3,Thursday,False,False,False,False,False,,False,False,False,False,Cloudy,20.8
2023-06-16,2023,Q2,6,June,24,4,Friday,False,False,False,False,False,,False,False,False,False,Cloudy,19.5
2023-06-17,2023,Q2,6,June,24,5,Saturday,True,False,False,False,False,,False,False,False,False,Rain,17.2
2023-06-18,2023,Q2,6,June,24,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,20.1
2023-06-19,2023,Q2,6,June,25,0,Monday,False,False,False,False,False,,False,False,False,False,Cloudy,15.8
2023-06-20,2023,Q2,6,June,25,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,22.4
2023-06-21,2023,Q2,6,June,25,2,Wednesday,False,False,False,False,False,,False,False,False,False,Rain,15.2
2023-06-22,2023,Q2,6,June,25,3,Thursday,False,False,False,False,False,,False,False,False,False,Dry,18.2
2023-06-23,2023,Q2,6,June,25,4,Friday,False,False,False,False,False,,False,False,False,False,Dry,19.8
2023-06-24,2023,Q2,6,June,25,5,Saturday,True,False,False,False,False,,False,False,False,False,Dry,13.8
2023-06-25,2023,Q2,6,June,25,6,Sunday,True,False,True,False,False,,False,False,False,False,Cloudy,19.6
2023-06-26,2023,Q2,6,June,26,0,Monday,False,False,True,False,False,,False,False,False,False,Cloudy,11.7
2023-06-27,2023,Q2,6,June,26,1,Tuesday,False,False,True,False,False,,False,False,False,False,Cloudy,16.1
2023-06-28,2023,Q2,6,June,26,2,Wednesday,False,False,True,False,False,,False,False,False,False,Dry,20.6
2023-06-29,2023,Q2,6,June,26,3,Thursday,False,False,True,False,False,,False,False,False,False,Dry,18.7
2023-06-30,2023,Q2,6,June,26,4,Friday,False,True,True,False,False,,False,False,False,False,Cloudy,16.7
2023-07-01,2023,Q3,7,July,26,5,Saturday,True,False,True,False,False,,False,False,False,False,Dry,15.6
2023-07-02,2023,Q3,7,July,26,6,Sunday,True,False,True,False,False,,False,False,False,False,Cloudy,17.9
2023-07-03,2023,Q3,7,July,27,0,Monday,False,False,True,False,False,,False,False,False,False,Rain,13.2
2023-07-04,2023,Q3,7,July,27,1,Tuesday,False,False,False,False,False,,False,False,False,False,Cloudy,16.3
2023-07-05,2023,Q3,7,July,27,2,Wednesday,False,False,False,False,False,,False,False,False,False,Dry,13.8
2023-07-06,2023,Q3,7,July,27,3,Thursday,False,False,False,False,False,,False,False,False,False,Cloudy,17.6
2023-07-07,2023,Q3,7,July,27,4,Friday,False,False,False,False,False,,False,False,False,False,Rain,22.6
2023-07-08,2023,Q3,7,July,27,5,Saturday,True,False,False,False,False,,False,False,False,False,Dry,20.4
2023-07-09,2023,Q3,7,July,27,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,15.4
2023-07-10,2023,Q3,7,July,28,0,Monday,False,False,False,False,False,,False,False,False,False,Cloudy,18.3
2023-07-11,2023,Q3,7,July,28,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,20.2
2023-07-12,2023,Q3,7,July,28,2,Wednesday,False,False,False,False,False,,False,False,False,False,Rain,14.9
2023-07-13,2023,Q3,7,July,28,3,Thursday,False,False,False,False,False,,False,False,False,False,Rain,14.9
2023-07-14,2023,Q3,7,July,28,4,Friday,False,False,False,False,False,,False,False,False,False,Dry,17.3
2023-07-15,2023,Q3,7,July,28,5,Saturday,True,False,False,False,False,,False,False,False,False,Warm,22.3
2023-07-16,2023,Q3,7,July,28,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,20.9
2023-07-17,2023,Q3,7,July,29,0,Monday,False,False,False,False,False,,False,False,False,False,Cloudy,16.1
2023-07-18,2023,Q3,7,July,29,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,17.6
2023-07-19,2023,Q3,7,July,29,2,Wednesday,False,False,False,False,False,,False,False,False,False,Cloudy,16.9
2023-07-20,2023,Q3,7,July,29,3,Thursday,False,False,False,False,False,,False,False,False,False,Rain,11.8
2023-07-21,2023,Q3,7,July,29,4,Friday,False,False,False,False,False,,False,False,False,False,Warm,23.4
2023-07-22,2023,Q3,7,July,29,5,Saturday,True,False,False,False,False,,False,False,False,False,Dry,16.6
2023-07-23,2023,Q3,7,July,29,6,Sunday,True,False,False,False,False,,False,False,False,False,Dry,17.8
2023-07-24,2023,Q3,7,July,30,0,Monday,False,False,False,False,False,,False,False,False,False,Warm,24.0
2023-07-25,2023,Q3,7,July,30,1,Tuesday,False,False,True,False,False,,False,False,False,False,Cloudy,16.0
2023-07-26,2023,Q3,7,July,30,2,Wednesday,False,False,True,False,False,,False,False,False,False,Warm,21.1
2023-07-27,2023,Q3,7,July,30,3,Thursday,False,False,True,False,False,,False,False,False,False,Rain,17.2
2023-07-28,2023,Q3,7,July,30,4,Friday,False,False,True,False,False,,False,False,False,False,Warm,21.6
2023-07-29,2023,Q3,7,July,30,5,Saturday,True,False,True,False,False,,False,False,False,False,Dry,14.7
2023-07-30,2023,Q3,7,July,30,6,Sunday,True,False,True,False,False,,False,False,False,False,Dry,18.8
2023-07-31,2023,Q3,7,July,31,0,Monday,False,True,True,False,False,,False,False,False,False,Warm,22.4
2023-08-01,2023,Q3,8,August,31,1,Tuesday,False,False,True,True,False,,False,False,False,False,Cloudy,14.6
2023-08-02,2023,Q3,8,August,31,2,Wednesday,False,False,True,True,False,,False,False,False,False,Rain,18.3
2023-08-03,2023,Q3,8,August,31,3,Thursday,False,False,True,True,False,,False,False,False,False,Cloudy,14.5
2023-08-04,2023,Q3,8,August,31,4,Friday,False,False,False,True,False,,False,False,False,False,Rain,13.8
2023-08-05,2023,Q3,8,August,31,5,Saturday,True,False,False,True,False,,False,False,False,False,Cloudy,9.2
2023-08-06,2023,Q3,8,August,31,6,Sunday,True,False,False,True,False,,False,False,False,False,Cloudy,13.2
2023-08-07,2023,Q3,8,August,32,0,Monday,False,False,False,True,True,Scottish Summer Bank Holiday,False,False,False,False,Dry,17.9
2023-08-08,2023,Q3,8,August,32,1,Tuesday,False,False,False,True,False,,False,False,False,False,Dry,15.1
2023-08-09,2023,Q3,8,August,32,2,Wednesday,False,False,False,True,False,,False,False,False,False,Cloudy,18.8
2023-08-10,2023,Q3,8,August,32,3,Thursday,False,False,False,True,False,,False,False,False,False,Dry,12.5
2023-08-11,2023,Q3,8,August,32,4,Friday,False,False,False,True,False,,False,False,False,False,Cloudy,12.3
2023-08-12,2023,Q3,8,August,32,5,Saturday,True,False,False,True,False,,False,False,False,False,Cloudy,16.6
2023-08-13,2023,Q3,8,August,32,6,Sunday,True,False,False,True,False,,False,False,False,False,Cloudy,18.1
2023-08-14,2023,Q3,8,August,33,0,Monday,False,False,False,True,False,,False,False,False,False,Dry,13.4
2023-08-15,2023,Q3,8,August,33,1,Tuesday,False,False,False,True,False,,False,False,False,False,Dry,12.6
2023-08-16,2023,Q3,8,August,33,2,Wednesday,False,False,False,True,False,,False,False,False,False,Warm,22.5
2023-08-17,2023,Q3,8,August,33,3,Thursday,False,False,False,True,False,,False,False,False,False,Dry,14.5
2023-08-18,2023,Q3,8,August,33,4,Friday,False,False,False,True,False,,False,False,False,False,Dry,11.7
2023-08-19,2023,Q3,8,August,33,5,Saturday,True,False,False,True,False,,False,False,False,False,Rain,16.7
2023-08-20,2023,Q3,8,August,33,6,Sunday,True,False,False,True,False,,False,False,False,False,Cloudy,14.1
2023-08-21,2023,Q3,8,August,34,0,Monday,False,False,False,True,False,,False,False,False,False,Cloudy,12.5
2023-08-22,2023,Q3,8,August,34,1,Tuesday,False,False,False,True,False,,False,False,False,False,Dry,12.4
2023-08-23,2023,Q3,8,August,34,2,Wednesday,False,False,False,True,False,,False,False,False,False,Rain,14.3
2023-08-24,2023,Q3,8,August,34,3,Thursday,False,False,False,True,False,,False,False,False,False,Rain,11.6
2023-08-25,2023,Q3,8,August,34,4,Friday,False,False,True,True,False,,False,False,False,False,Dry,19.4
2023-08-26,2023,Q3,8,August,34,5,Saturday,True,False,True,True,False,,False,False,False,False,Cloudy,10.2
2023-08-27,2023,Q3,8,August,34,6,Sunday,True,False,True,True,False,,False,False,False,False,Cloudy,13.1
2023-08-28,2023,Q3,8,August,35,0,Monday,False,False,True,True,True,Summer Bank Holiday,False,False,False,False,Cloudy,9.1
2023-08-29,2023,Q3,8,August,35,1,Tuesday,False,False,True,True,False,,False,False,False,False,Cloudy,18.3
2023-08-30,2023,Q3,8,August,35,2,Wednesday,False,False,True,True,False,,False,False,False,False,Dry,10.8
2023-08-31,2023,Q3,8,August,35,3,Thursday,False,True,True,True,False,,False,False,False,False,Cloudy,13.9
2023-09-01,2023,Q3,9,September,35,4,Friday,False,False,True,False,False,,False,False,False,False,Rain,13.5
2023-09-02,2023,Q3,9,September,35,5,Saturday,True,False,True,False,False,,False,False,False,False,Dry,13.9
2023-09-03,2023,Q3,9,September,35,6,Sunday,True,False,True,False,False,,False,False,False,False,Rain,10.3
2023-09-04,2023,Q3,9,September,36,0,Monday,False,False,False,False,False,,False,False,False,False,Dry,10.6
2023-09-05,2023,Q3,9,September,36,1,Tuesday,False,False,False,False,False,,False,False,False,False,Heavy Rain,13.9
2023-09-06,2023,Q3,9,September,36,2,Wednesday,False,False,False,False,False,,False,False,False,False,Warm,21.8
