sku_id,category,true_base_demand,true_price_elasticity,true_promo_uplift_pct,true_display_uplift_pct,true_email_app_uplift_pct,true_seasonality_strength,true_weekend_effect_pct,true_stockout_lost_sales_factor,true_cannibalisation_factor,true_margin_impact_of_promotion,true_demand_trend_pct_per_year,data_generation_notes,true_realised_att_pct
SKU0041,Fresh Produce,13.797,-1.7396,33.87,7.86,10.09,0.24,8.53,0.715,0.046,0.678,4.7,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",152.327
SKU0042,Ambient Grocery,6.905,-1.2076,18.81,17.48,10.0,0.07,15.38,0.958,0.051,0.616,11.54,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",88.443
SKU0043,Ambient Grocery,3.139,-1.0792,20.88,8.13,8.85,0.07,17.36,0.791,0.099,0.408,7.33,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",91.19
SKU0044,Fresh Produce,31.954,-0.9365,26.54,15.42,7.44,0.24,7.61,0.883,0.047,0.447,-1.86,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0045,Ambient Grocery,3.448,-1.1871,20.41,15.15,7.67,0.07,17.87,0.772,0.041,0.251,-23.4,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",93.946
SKU0046,Bakery,17.653,-0.5607,19.92,14.71,5.68,0.14,3.18,0.89,0.1,0.362,-17.63,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",67.53
SKU0047,Fresh Produce,26.581,-0.4874,29.17,11.1,5.01,0.24,8.2,0.891,0.048,0.418,-23.44,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",77.878
SKU0048,Beverages,27.994,-1.3768,39.03,10.88,5.63,0.24,4.3,0.89,0.089,0.223,-16.93,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",147.001
SKU0049,Frozen,5.395,-0.4798,15.72,13.23,10.37,0.14,9.57,0.803,0.081,0.608,-15.94,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",56.077
SKU0050,Snacks & Confectionery,20.962,-1.4996,27.29,10.29,9.2,0.14,13.43,0.9,0.086,0.352,-5.92,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",124.729
SKU0051,Snacks & Confectionery,23.708,-1.5548,25.46,16.42,7.66,0.14,7.47,0.721,0.078,0.612,-7.88,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",110.75
SKU0052,Ambient Grocery,7.172,-1.1128,16.23,16.96,9.03,0.07,12.87,0.895,0.092,0.711,7.97,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",83.447
SKU0053,Frozen,13.521,-1.0862,18.15,10.36,9.55,0.14,12.67,0.723,0.031,0.695,0.71,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0054,Seasonal,4.292,-1.8784,39.55,11.13,9.27,0.24,15.42,0.795,0.032,0.748,-5.74,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",178.953
SKU0055,Beverages,8.911,-1.371,34.06,13.8,8.45,0.24,6.83,0.916,0.037,0.656,-1.16,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",140.608
SKU0056,Bakery,10.386,-0.9438,35.6,15.4,4.51,0.14,6.57,0.934,0.027,0.305,-12.4,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0057,Snacks & Confectionery,16.088,-0.5412,39.22,12.74,6.1,0.14,17.68,0.839,0.055,0.426,-15.81,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",100.801
SKU0058,Fresh Produce,30.913,-1.5384,29.85,14.25,3.33,0.24,13.23,0.76,0.051,0.281,-35.0,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",125.754
SKU0059,Bakery,20.419,-1.0699,20.96,10.26,4.31,0.14,6.4,0.945,0.041,0.626,-2.43,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0060,Dairy & Eggs,22.519,-0.5166,16.1,14.73,6.75,0.14,3.47,0.988,0.032,0.394,-19.0,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",53.445
SKU0061,Seasonal,9.58,-1.5816,32.39,15.43,3.05,0.24,16.99,0.894,0.096,0.65,8.45,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0062,Ambient Grocery,9.601,-1.2117,19.81,10.29,6.54,0.07,12.87,0.828,0.079,0.251,-1.96,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",85.029
