table_name,column_name,data_type,description,grain,whether_safe_for_model_training,notes
dim_product.csv,unit_size,Synthetic CSV field; infer with pandas,Synthetic unit size field.,One row per entity,True,
dim_product.csv,unit_of_measure,Synthetic CSV field; infer with pandas,Synthetic unit of measure field.,One row per entity,True,
dim_product.csv,regular_unit_price_gbp,Synthetic CSV field; infer with pandas,Synthetic regular unit price gbp field.,One row per entity,True,
dim_product.csv,unit_cost_gbp,Synthetic CSV field; infer with pandas,Synthetic unit cost gbp field.,One row per entity,True,
dim_product.csv,baseline_gross_margin_pct,Synthetic CSV field; infer with pandas,Synthetic baseline gross margin pct field.,One row per entity,True,
dim_product.csv,price_elasticity_segment,Synthetic CSV field; infer with pandas,Synthetic price elasticity segment field.,One row per entity,True,
dim_product.csv,promotion_sensitivity_segment,Synthetic CSV field; infer with pandas,Synthetic promotion sensitivity segment field.,One row per entity,True,
dim_product.csv,demand_volatility_segment,Synthetic CSV field; infer with pandas,Synthetic demand volatility segment field.,One row per entity,True,
dim_product.csv,seasonal_profile,Synthetic CSV field; infer with pandas,Synthetic seasonal profile field.,One row per entity,True,
dim_product.csv,minimum_display_stock,Synthetic CSV field; infer with pandas,Synthetic minimum display stock field.,One row per entity,True,
dim_product.csv,reorder_lead_time_days,Synthetic CSV field; infer with pandas,Synthetic reorder lead time days field.,One row per entity,True,
dim_calendar.csv,date,Synthetic CSV field; infer with pandas,Calendar date at the table grain.,One row per entity,True,
dim_calendar.csv,year,Synthetic CSV field; infer with pandas,Synthetic year field.,One row per entity,True,
dim_calendar.csv,quarter,Synthetic CSV field; infer with pandas,Synthetic quarter field.,One row per entity,True,
dim_calendar.csv,month,Synthetic CSV field; infer with pandas,Synthetic month field.,One row per entity,True,
dim_calendar.csv,month_name,Synthetic CSV field; infer with pandas,Synthetic month name field.,One row per entity,True,
dim_calendar.csv,week_of_year,Synthetic CSV field; infer with pandas,Synthetic week of year field.,One row per entity,True,
dim_calendar.csv,day_of_week,Synthetic CSV field; infer with pandas,Synthetic day of week field.,One row per entity,True,
dim_calendar.csv,day_name,Synthetic CSV field; infer with pandas,Synthetic day name field.,One row per entity,True,
dim_calendar.csv,is_weekend,Synthetic CSV field; infer with pandas,Synthetic is weekend field.,One row per entity,True,
dim_calendar.csv,is_month_end,Synthetic CSV field; infer with pandas,Synthetic is month end field.,One row per entity,True,
dim_calendar.csv,is_payday_window,Synthetic CSV field; infer with pandas,Synthetic is payday window field.,One row per entity,True,
dim_calendar.csv,is_school_holiday,Synthetic CSV field; infer with pandas,Synthetic is school holiday field.,One row per entity,True,
dim_calendar.csv,is_bank_holiday,Synthetic CSV field; infer with pandas,Synthetic is bank holiday field.,One row per entity,True,
dim_calendar.csv,bank_holiday_name,Synthetic CSV field; infer with pandas,Synthetic bank holiday name field.,One row per entity,True,
dim_calendar.csv,is_easter_period,Synthetic CSV field; infer with pandas,Synthetic is easter period field.,One row per entity,True,
dim_calendar.csv,is_christmas_period,Synthetic CSV field; infer with pandas,Synthetic is christmas period field.,One row per entity,True,
dim_calendar.csv,is_black_friday_period,Synthetic CSV field; infer with pandas,Synthetic is black friday period field.,One row per entity,True,
dim_calendar.csv,is_heatwave,Synthetic CSV field; infer with pandas,Synthetic is heatwave field.,One row per entity,True,
dim_calendar.csv,weather_condition,Synthetic CSV field; infer with pandas,Synthetic weather condition field.,One row per entity,True,
dim_calendar.csv,temperature_celsius,Synthetic CSV field; infer with pandas,Synthetic temperature celsius field.,One row per entity,True,
dim_calendar.csv,rainfall_mm,Synthetic CSV field; infer with pandas,Synthetic rainfall mm field.,One row per entity,True,
fact_promotions.csv,promotion_id,Synthetic CSV field; infer with pandas,Synthetic promotion id field.,One row per promotion event,True,
fact_promotions.csv,campaign_id,Synthetic CSV field; infer with pandas,Synthetic campaign id field.,One row per promotion event,True,
fact_promotions.csv,campaign_wave_days,Synthetic CSV field; infer with pandas,Synthetic campaign wave days field.,One row per promotion event,True,
fact_promotions.csv,store_id,Synthetic CSV field; infer with pandas,Unique Northstar store identifier.,One row per promotion event,True,
fact_promotions.csv,sku_id,Synthetic CSV field; infer with pandas,Unique stock keeping unit identifier.,One row per promotion event,True,
fact_promotions.csv,promo_start_date,Synthetic CSV field; infer with pandas,Synthetic promo start date field.,One row per promotion event,True,
fact_promotions.csv,promo_end_date,Synthetic CSV field; infer with pandas,Synthetic promo end date field.,One row per promotion event,True,
fact_promotions.csv,promo_type,Synthetic CSV field; infer with pandas,Synthetic promo type field.,One row per promotion event,True,
fact_promotions.csv,discount_pct,Synthetic CSV field; infer with pandas,Synthetic discount pct field.,One row per promotion event,True,
fact_promotions.csv,display_support_flag,Synthetic CSV field; infer with pandas,Synthetic display support flag field.,One row per promotion event,True,
fact_promotions.csv,email_or_app_support_flag,Synthetic CSV field; infer with pandas,Synthetic email or app support flag field.,One row per promotion event,True,
fact_promotions.csv,leaflet_support_flag,Synthetic CSV field; infer with pandas,Synthetic leaflet support flag field.,One row per promotion event,True,
fact_promotions.csv,campaign_theme,Synthetic CSV field; infer with pandas,Synthetic campaign theme field.,One row per promotion event,True,
fact_promotions.csv,promotion_cost_gbp,Synthetic CSV field; infer with pandas,Synthetic promotion cost gbp field.,One row per promotion event,True,
fact_promotions.csv,vendor_funded_pct,Synthetic CSV field; infer with pandas,Synthetic vendor funded pct field.,One row per promotion event,True,
fact_promotions.csv,promotion_planned_flag,Synthetic CSV field; infer with pandas,Synthetic promotion planned flag field.,One row per promotion event,True,
fact_inventory_delivery.csv,date,Synthetic CSV field; infer with pandas,Calendar date at the table grain.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,store_id,Synthetic CSV field; infer with pandas,Unique Northstar store identifier.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,sku_id,Synthetic CSV field; infer with pandas,Unique stock keeping unit identifier.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,opening_stock_units,Synthetic CSV field; infer with pandas,Synthetic opening stock units field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,delivery_units,Synthetic CSV field; infer with pandas,Synthetic delivery units field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,delivery_scheduled_flag,Synthetic CSV field; infer with pandas,Synthetic delivery scheduled flag field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,delivery_delay_flag,Synthetic CSV field; infer with pandas,Synthetic delivery delay flag field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,damaged_units,Synthetic CSV field; infer with pandas,Synthetic damaged units field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,expired_or_wasted_units,Synthetic CSV field; infer with pandas,Synthetic expired or wasted units field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,closing_stock_units,Synthetic CSV field; infer with pandas,Synthetic closing stock units field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,stockout_flag,Synthetic CSV field; infer with pandas,Whether demand exceeded saleable available stock.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,hours_out_of_stock,Synthetic CSV field; infer with pandas,Synthetic hours out of stock field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,stock_cover_days,Synthetic CSV field; infer with pandas,Synthetic stock cover days field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,reorder_point_units,Synthetic CSV field; infer with pandas,Synthetic reorder point units field.,One row per date × store_id × sku_id,True,
fact_inventory_delivery.csv,expected_lead_time_days,Synthetic CSV field; infer with pandas,Synthetic expected lead time days field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,date,Synthetic CSV field; infer with pandas,Calendar date at the table grain.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,store_id,Synthetic CSV field; infer with pandas,Unique Northstar store identifier.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,sku_id,Synthetic CSV field; infer with pandas,Unique stock keeping unit identifier.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,regular_unit_price_gbp,Synthetic CSV field; infer with pandas,Synthetic regular unit price gbp field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,actual_unit_price_gbp,Synthetic CSV field; infer with pandas,Synthetic actual unit price gbp field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,discount_pct,Synthetic CSV field; infer with pandas,Synthetic discount pct field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,promo_flag,Synthetic CSV field; infer with pandas,Whether an observed promotion was active on the date.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,promo_type,Synthetic CSV field; infer with pandas,Synthetic promo type field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,display_support_flag,Synthetic CSV field; infer with pandas,Synthetic display support flag field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,email_or_app_support_flag,Synthetic CSV field; infer with pandas,Synthetic email or app support flag field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,leaflet_support_flag,Synthetic CSV field; infer with pandas,Synthetic leaflet support flag field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,competitor_price_index,Synthetic CSV field; infer with pandas,Synthetic competitor price index field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,store_footfall,Synthetic CSV field; infer with pandas,Synthetic store footfall field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,local_event_flag,Synthetic CSV field; infer with pandas,Synthetic local event flag field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,holiday_flag,Synthetic CSV field; infer with pandas,Synthetic holiday flag field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,weather_condition,Synthetic CSV field; infer with pandas,Synthetic weather condition field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,temperature_celsius,Synthetic CSV field; infer with pandas,Synthetic temperature celsius field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,rainfall_mm,Synthetic CSV field; infer with pandas,Synthetic rainfall mm field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,opening_stock_units,Synthetic CSV field; infer with pandas,Synthetic opening stock units field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,delivery_units,Synthetic CSV field; infer with pandas,Synthetic delivery units field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,closing_stock_units,Synthetic CSV field; infer with pandas,Synthetic closing stock units field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,stockout_flag,Synthetic CSV field; infer with pandas,Whether demand exceeded saleable available stock.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,hours_out_of_stock,Synthetic CSV field; infer with pandas,Synthetic hours out of stock field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,lag_1_units_sold,Synthetic CSV field; infer with pandas,Synthetic lag 1 units sold field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,lag_7_units_sold,Synthetic CSV field; infer with pandas,Synthetic lag 7 units sold field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,rolling_7_day_avg_units_sold,Synthetic CSV field; infer with pandas,Synthetic rolling 7 day avg units sold field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,rolling_28_day_avg_units_sold,Synthetic CSV field; infer with pandas,Synthetic rolling 28 day avg units sold field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,day_of_week,Synthetic CSV field; infer with pandas,Synthetic day of week field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,month,Synthetic CSV field; infer with pandas,Synthetic month field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,week_of_year,Synthetic CSV field; infer with pandas,Synthetic week of year field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,is_weekend,Synthetic CSV field; infer with pandas,Synthetic is weekend field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,is_payday_window,Synthetic CSV field; infer with pandas,Synthetic is payday window field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,is_school_holiday,Synthetic CSV field; infer with pandas,Synthetic is school holiday field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,is_bank_holiday,Synthetic CSV field; infer with pandas,Synthetic is bank holiday field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,units_sold,Synthetic CSV field; infer with pandas,Observed units sold after inventory constraints.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,potential_demand_units,Synthetic CSV field; infer with pandas,Simulated latent demand before stock constraints; validation only.,One row per date × store_id × sku_id,False,Do not use simulated ground truth or post-outcome fields as model features.
fact_daily_store_sku.csv,sales_revenue_gbp,Synthetic CSV field; infer with pandas,Synthetic sales revenue gbp field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,cost_of_goods_sold_gbp,Synthetic CSV field; infer with pandas,Synthetic cost of goods sold gbp field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,retailer_promo_cost_gbp,Synthetic CSV field; infer with pandas,Synthetic retailer promo cost gbp field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,gross_profit_gbp,Synthetic CSV field; infer with pandas,Revenue less cost of goods sold and retailer-funded promotion cost.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,gross_margin_pct,Synthetic CSV field; infer with pandas,Synthetic gross margin pct field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,waste_units,Synthetic CSV field; infer with pandas,Synthetic waste units field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,lost_sales_estimate_units,Synthetic CSV field; infer with pandas,Synthetic lost sales estimate units field.,One row per date × store_id × sku_id,False,Do not use simulated ground truth or post-outcome fields as model features.
fact_daily_store_sku.csv,transaction_count,Synthetic CSV field; infer with pandas,Synthetic transaction count field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,average_basket_value_gbp,Synthetic CSV field; infer with pandas,Synthetic average basket value gbp field.,One row per date × store_id × sku_id,True,
fact_daily_store_sku.csv,anomaly_flag,Synthetic CSV field; infer with pandas,Synthetic anomalous event indicator for data-quality exploration.,One row per date × store_id × sku_id,False,Do not use simulated ground truth or post-outcome fields as model features.
fact_daily_store_sku.csv,anomaly_type,Synthetic CSV field; infer with pandas,Synthetic anomaly type field.,One row per date × store_id × sku_id,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,sku_id,Synthetic CSV field; infer with pandas,Unique stock keeping unit identifier.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,category,Synthetic CSV field; infer with pandas,Synthetic category field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_base_demand,Synthetic CSV field; infer with pandas,Synthetic true base demand field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_price_elasticity,Synthetic CSV field; infer with pandas,Synthetic true price elasticity field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_promo_uplift_pct,Synthetic CSV field; infer with pandas,Synthetic true promo uplift pct field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_display_uplift_pct,Synthetic CSV field; infer with pandas,Synthetic true display uplift pct field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_email_app_uplift_pct,Synthetic CSV field; infer with pandas,Synthetic true email app uplift pct field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_seasonality_strength,Synthetic CSV field; infer with pandas,Synthetic true seasonality strength field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_weekend_effect_pct,Synthetic CSV field; infer with pandas,Synthetic true weekend effect pct field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_stockout_lost_sales_factor,Synthetic CSV field; infer with pandas,Synthetic true stockout lost sales factor field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_cannibalisation_factor,Synthetic CSV field; infer with pandas,Synthetic true cannibalisation factor field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_margin_impact_of_promotion,Synthetic CSV field; infer with pandas,Synthetic true margin impact of promotion field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_demand_trend_pct_per_year,Synthetic CSV field; infer with pandas,Synthetic true demand trend pct per year field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,data_generation_notes,Synthetic CSV field; infer with pandas,Synthetic data generation notes field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
ground_truth_simulation_parameters.csv,true_realised_att_pct,Synthetic CSV field; infer with pandas,Synthetic true realised att pct field.,One row per SKU,False,Do not use simulated ground truth or post-outcome fields as model features.
